         1781202 function calls (1758822 primitive calls) in 2.859 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.000    0.000    0.000    0.000 __init__.py:1478(_validate_resource_path)
        3    0.000    0.000    0.201    0.067 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:15(_init)
        1    0.000    0.000    0.025    0.025 __init__.py:150(_try_enable_svml)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
       12    0.000    0.000    0.000    0.000 __init__.py:1564(_parents)
        1    0.000    0.000    0.000    0.000 __init__.py:1575(EggProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1578(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1582(_setup_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:1595(DefaultProvider)
       37    0.000    0.000    0.001    0.000 __init__.py:1598(_has)
        6    0.000    0.000    0.000    0.000 __init__.py:16(search_path)
        2    0.000    0.000    0.000    0.000 __init__.py:1610(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1614(_register)
        1    0.000    0.000    0.002    0.002 __init__.py:162(get_supported_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:1625(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1638(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1645(ZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1672(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:1692(ZipProvider)
        1    0.000    0.000    0.005    0.005 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1743(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1749(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
